session_id,correct Q1,correct Q2,correct Q3,correct Q4,correct Q5,correct Q6,correct Q7,correct Q8,correct Q9,correct Q10,correct Q11,correct Q12,correct Q13,correct Q14,correct Q15,correct Q16,correct Q17,correct Q18
20090312431273200_q1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
20090312433251036_q1,0,1,1,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1
20090312455206810_q1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
20090313091715820_q1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1,1,1
20090313571836404_q1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
20090314035813970_q1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,0,1
20090314121766812_q1,1,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,0,1
20090314221187252_q1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,1
20090314363702160_q1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1
20090314441803444_q1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1
20090315081004164_q1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1
20090315085850788_q1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0,1
20090315101457836_q1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1
20090315170769824_q1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1
20090315270479452_q1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
20090316152177500_q1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,1
20090316190523732_q1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
20090317080721164_q1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
20090317111400710_q1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1,1
20090317414400068_q1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,0,1
20090318021527530_q1,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1
20090318322359292_q1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1
20090318541618010_q1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,1,1
20090319012741024_q1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1
20090320140443148_q1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
20100000291486630_q1,0,1,1,0,1,0,1,0,0,1,1,1,0,0,0,1,1,1
20100000404860470_q1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,1
20100006432365430_q1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1
20100007011166932_q1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1
20100007445515820_q1,0,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1
20100008103581056_q1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1
20100008262217530_q1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
20100008572266050_q1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
20100009003806170_q1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1,1
20100009303098716_q1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1
20100009314461780_q1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1
20100009385330468_q1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1
20100009560590796_q1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
20100010540710908_q1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1
20100010554738616_q1,0,1,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1,1
20100011003256550_q1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1
20100011033647636_q1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1
20100011050028640_q1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,0,1
